	"names"	"clusters"
"584"	"CST3"	10
"585"	"CSTF2T"	10
"586"	"CTAGE5"	9
"587"	"CTA_292E10_6"	1
"588"	"CTA_29F11_1"	10
"589"	"CTC_425F1_4"	1
"590"	"CTC_524C5_2"	16
"591"	"CTDSP2"	15
"592"	"CTD_3080P12_3"	9
"593"	"CTD_3252C9_4"	2
"594"	"CTGF"	20
"595"	"CTHRC1"	19
"596"	"CTNNB1"	1
"597"	"CTSA"	20
"598"	"CTSB"	6
"599"	"CTSC"	6
"600"	"CTSD"	10
"601"	"CTSF"	15
"602"	"CTSH"	9
"603"	"CTSL"	6
"604"	"CTSO"	6
"605"	"CTSV"	2
"606"	"CTTN"	2
"607"	"CTTNBP2NL"	15
"608"	"CUBN"	12
"609"	"CUL1"	16
"610"	"CUX1"	2
"611"	"CWC15"	4
"612"	"CWF19L2"	2
"613"	"CXADR"	6
"614"	"CXCL12"	8
"615"	"CXCL16"	9
"616"	"CXCL3"	10
"617"	"CXorf56"	19
"618"	"CYB561"	15
"619"	"CYB561D2"	9
"620"	"CYB5A"	10
"621"	"CYB5B"	16
"622"	"CYBA"	10
"623"	"CYCS"	16
"624"	"CYP20A1"	19
"625"	"CYP27A1"	9
"626"	"CYP2C18"	18
"627"	"CYP2W1"	18
"628"	"CYR61"	20
"629"	"CYTH2"	1
"630"	"CYTL1"	1
"631"	"D2HGDH"	10
"632"	"DAB1"	9
"633"	"DAB2"	20
"634"	"DACH1"	13
"635"	"DACT1"	19
"636"	"DALRD3"	19
"637"	"DAPK1"	10
"638"	"DBN1"	10
"639"	"DBNDD1"	16
"640"	"DCAF6"	10
"641"	"DCBLD1"	17
"642"	"DCK"	12
"643"	"DCN"	2
"644"	"DCUN1D5"	10
"645"	"DCXR"	4
"646"	"DDI2"	18
"647"	"DDIT3"	6
"648"	"DDIT4"	6
"649"	"DDRGK1"	9
"650"	"DDX17"	16
"651"	"DDX6"	2
"652"	"DEFB1"	12
"653"	"DEGS1"	10
"654"	"DEGS2"	18
"655"	"DEK"	4
"656"	"DENND4B"	16
"657"	"DENND4C"	19
"658"	"DEPDC1B"	15
"659"	"DERL2"	9
"660"	"DES"	8
"661"	"DGAT2"	10
"662"	"DGCR6"	12
"663"	"DHCR24"	15
"664"	"DHCR7"	10
"665"	"DHFR"	10
"666"	"DHRS11"	18
"667"	"DHRS2"	20
"668"	"DHRS4L2"	10
"669"	"DHRS7"	18
"670"	"DHRS7B"	2
"671"	"DHX36"	1
"672"	"DIAPH2"	2
"673"	"DIAPH3"	4
"674"	"DICER1_AS1"	1
"675"	"DIMT1"	4
"676"	"DIO3OS"	17
"677"	"DKK3"	10
"678"	"DLC1"	2
"679"	"DLL1"	6
"680"	"DMBT1"	3
"681"	"DMKN"	15
"682"	"DMTN"	15
"683"	"DNAJA2"	16
"684"	"DNAJB1"	6
"685"	"DNAJB12"	10
"686"	"DNAJB9"	19
