	"names"	"clusters"
"544"	"CYGB"	2
"545"	"CYP26B1"	3
"546"	"CYR61"	8
"547"	"CYSTM1"	20
"548"	"CYTH1"	10
"549"	"CYTH2"	1
"550"	"CYTL1"	6
"551"	"CYYR1"	3
"552"	"D2HGDH"	5
"553"	"DAAM1"	7
"554"	"DAAM2"	20
"555"	"DAB2"	3
"556"	"DACH1"	14
"557"	"DAG1"	20
"558"	"DAP"	20
"559"	"DAPK1"	3
"560"	"DAPK3"	13
"561"	"DBI"	13
"562"	"DCBLD1"	14
"563"	"DCN"	17
"564"	"DCP2"	3
"565"	"DCTN1"	6
"566"	"DCX"	13
"567"	"DDAH1"	13
"568"	"DDIT3"	3
"569"	"DDIT4"	6
"570"	"DDX24"	7
"571"	"DDX39A"	20
"572"	"DECR1"	20
"573"	"DEF8"	20
"574"	"DEGS1"	20
"575"	"DEK"	14
"576"	"DENND5A"	14
"577"	"DEPDC1"	20
"578"	"DES"	11
"579"	"DGKH"	20
"580"	"DHFR"	13
"581"	"DHRS3"	9
"582"	"DIAPH3"	9
"583"	"DIRAS3"	1
"584"	"DIS3L"	2
"585"	"DISP1"	18
"586"	"DIXDC1"	13
"587"	"DKK3"	10
"588"	"DKKL1"	7
"589"	"DLC1"	20
"590"	"DLD"	7
"591"	"DLG4"	2
"592"	"DLGAP5"	9
"593"	"DLK1"	12
"594"	"DLL1"	19
"595"	"DLL3"	11
"596"	"DLX1"	19
"597"	"DLX2"	11
"598"	"DMKN"	20
"599"	"DMPK"	9
"600"	"DNAAF2"	7
"601"	"DNAJA1"	7
"602"	"DNAJB1"	4
"603"	"DNAJB4"	3
"604"	"DNAJC12"	7
"605"	"DNAJC15"	14
"606"	"DNAJC21"	2
"607"	"DNALI1"	7
"608"	"DNMT1"	14
"609"	"DNMT3A"	16
"610"	"DOK4"	3
"611"	"DONSON"	16
"612"	"DPF3"	16
"613"	"DPM3"	18
"614"	"DPP4"	4
"615"	"DPP7"	17
"616"	"DPPA4"	2
"617"	"DPYSL3"	14
