	"names"	"clusters"
"315"	"CHGA"	1
"316"	"CHIC2"	5
"317"	"CHL1"	16
"318"	"CHN1"	1
"319"	"CHRM2"	7
"320"	"CHRNA3"	2
"321"	"CHST11"	14
"322"	"CHST8"	15
"323"	"CIRBP"	7
"324"	"CITED2"	20
"325"	"CIZ1"	19
"326"	"CKAP2"	2
"327"	"CKAP2L"	2
"328"	"CKB"	15
"329"	"CKLF"	5
"330"	"CKS1B"	3
"331"	"CKS2"	1
"332"	"CLASP1"	3
"333"	"CLDN15"	1
"334"	"CLDN3"	6
"335"	"CLDN4"	1
"336"	"CLDN6"	1
"337"	"CLDN7"	1
"338"	"CLEC11A"	8
"339"	"CLIC3"	7
"340"	"CLIC4"	2
"341"	"CLN5"	7
"342"	"CLU"	16
"343"	"CMBL"	7
"344"	"CMTM3"	5
"345"	"CMTM7"	5
"346"	"CNKSR3"	14
"347"	"CNN1"	15
"348"	"CNN2"	9
"349"	"CNN3"	9
"350"	"CNOT2"	5
"351"	"CNPY2"	12
"352"	"CNRIP1"	12
"353"	"CNTFR"	20
"354"	"CNTN4"	19
"355"	"COBL"	13
"356"	"COL11A1"	7
"357"	"COL13A1"	20
"358"	"COL14A1"	11
"359"	"COL16A1"	20
"360"	"COL1A1"	8
"361"	"COL1A2"	8
"362"	"COL21A1"	11
"363"	"COL23A1"	2
"364"	"COL26A1"	7
"365"	"COL27A1"	5
"366"	"COL2A1"	1
"367"	"COL3A1"	8
"368"	"COL4A1"	2
"369"	"COL4A2"	2
"370"	"COL5A1"	20
"371"	"COL5A2"	20
"372"	"COL6A1"	11
"373"	"COL6A2"	11
"374"	"COL6A3"	11
"375"	"COL9A1"	10
"376"	"COL9A3"	17
"377"	"COLEC12"	2
"378"	"COMMD6"	2
"379"	"COMTD1"	16
"380"	"COPS8"	12
"381"	"CORO1C"	2
"382"	"COTL1"	2
"383"	"COX17"	15
"384"	"COX6B1"	2
"385"	"COX6C"	2
"386"	"COX7A1"	5
"387"	"COX7A2"	10
"388"	"COX7C"	2
"389"	"CPE"	1
"390"	"CPS1"	16
"391"	"CPXM1"	20
"392"	"CPXM2"	15
"393"	"CRABP1"	1
"394"	"CRABP2"	17
"395"	"CREB3L1"	5
"396"	"CRIP1"	3
"397"	"CRIP2"	15
"398"	"CRISPLD2"	2
"399"	"CRK"	2
"400"	"CRMP1"	2
"401"	"CRTAP"	20
"402"	"CRYAB"	15
"403"	"CRYL1"	1
"404"	"CSDE1"	7
"405"	"CSGALNACT2"	7
"406"	"CSPG4"	5
"407"	"CSRP1"	15
"408"	"CSRP2"	17
"409"	"CTA_29F11_1"	20
"410"	"CTD_3252C9_4"	20
"411"	"CTGF"	17
"412"	"CTHRC1"	8
"413"	"CTNNB1"	20
"414"	"CTNND2"	14
"415"	"CTSA"	12
"416"	"CTSB"	2
"417"	"CTSD"	1
"418"	"CTSH"	7
"419"	"CTSK"	20
"420"	"CTSL"	9
"421"	"CTTNBP2"	7
"422"	"CUEDC1"	5
"423"	"CUX1"	2
"424"	"CXADR"	3
"425"	"CXCL12"	8
"426"	"CXCL14"	4
"427"	"CYBRD1"	5
"428"	"CYCS"	2
"429"	"CYGB"	11
"430"	"CYP26B1"	5
"431"	"CYP27A1"	14
"432"	"CYP2W1"	1
"433"	"CYR61"	7
"434"	"CYSTM1"	16
"435"	"CYTL1"	3
"436"	"DAB2"	20
"437"	"DACH1"	15
"438"	"DACT1"	7
"439"	"DAG1"	16
"440"	"DAPK1"	1
"441"	"DBI"	1
"442"	"DCAF12"	12
"443"	"DCAF8"	5
"444"	"DCBLD1"	5
"445"	"DCLK1"	1
"446"	"DCN"	11
"447"	"DCP2"	12
"448"	"DCX"	3
"449"	"DDAH1"	7
"450"	"DDIT4"	20
"451"	"DDOST"	9
"452"	"DDR2"	9
"453"	"DDRGK1"	1
"454"	"DDX24"	5
"455"	"DDX3Y"	12
"456"	"DEGS1"	18
"457"	"DEK"	12
"458"	"DEPDC1"	2
"459"	"DES"	15
"460"	"DESI2"	13
"461"	"DET1"	5
"462"	"DGCR6L"	5
"463"	"DHCR24"	1
"464"	"DHCR7"	1
"465"	"DHRS3"	7
"466"	"DIRAS3"	12
"467"	"DIXDC1"	2
"468"	"DLC1"	12
"469"	"DLG2"	1
"470"	"DLGAP5"	3
"471"	"DLK1"	7
"472"	"DLL1"	20
"473"	"DLX1"	1
"474"	"DLX2"	18
"475"	"DMD"	3
"476"	"DMPK"	2
"477"	"DNAH14"	1
"478"	"DNAJB4"	20
"479"	"DNAJB9"	7
"480"	"DNAJC1"	9
"481"	"DNAJC15"	12
"482"	"DNAJC2"	20
"483"	"DPP7"	3
"484"	"DPPA4"	20
"485"	"DPT"	5
"486"	"DPYSL2"	13
"487"	"DPYSL3"	16
"488"	"DSE"	9
"489"	"DSG2"	7
"490"	"DST"	1
"491"	"DSTN"	15
"492"	"DTX4"	9
"493"	"DUSP1"	1
"494"	"DUSP10"	5
"495"	"DUSP16"	19
"496"	"DUSP2"	16
"497"	"DUSP26"	2
"498"	"DUSP4"	1
"499"	"DUSP6"	7
"500"	"E2F1"	5
"501"	"E2F8"	7
"502"	"EBPL"	7
"503"	"ECM1"	20
"504"	"EDIL3"	5
"505"	"EDN3"	7
"506"	"EDNRA"	20
"507"	"EDNRB"	1
"508"	"EEA1"	9
"509"	"EFCAB14"	5
"510"	"EFEMP1"	20
"511"	"EFEMP2"	14
"512"	"EFNA1"	7
"513"	"EFNA5"	7
"514"	"EFNB1"	11
"515"	"EFNB2"	1
"516"	"EFNB3"	1
"517"	"EGFL6"	6
"518"	"EGFL7"	20
"519"	"EGFLAM"	3
"520"	"EGLN2"	3
"521"	"EGLN3"	15
"522"	"EGR1"	7
"523"	"EHBP1L1"	2
"524"	"EHD2"	5
"525"	"EHMT1"	7
"526"	"EIF2AK4"	7
"527"	"EIF3E"	9
"528"	"EIF4A2"	18
"529"	"ELAVL3"	16
"530"	"ELAVL4"	16
"531"	"ELK3"	20
"532"	"ELMOD3"	12
"533"	"ELN"	8
"534"	"EMILIN1"	11
"535"	"ENAH"	16
"536"	"ENC1"	7
"537"	"ENDOG"	2
"538"	"ENG"	20
"539"	"ENO1"	7
"540"	"ENO2"	1
"541"	"ENPP2"	9
"542"	"ENTPD1"	15
"543"	"EPAS1"	3
"544"	"EPB41L2"	11
"545"	"EPCAM"	17
"546"	"EPHA4"	7
"547"	"EPHB2"	1
"548"	"EPHB3"	20
"549"	"EPHB4"	14
"550"	"EPHX1"	7
"551"	"EPHX2"	1
"552"	"EPM2AIP1"	7
"553"	"EPS8"	20
"554"	"EPS8L1"	16
"555"	"ERBB2"	20
"556"	"ERBB3"	1
"557"	"ERLEC1"	20
"558"	"ERP44"	7
"559"	"ESF1"	5
"560"	"ETHE1"	1
"561"	"ETNK1"	7
"562"	"ETS1"	20
"563"	"ETS2"	20
"564"	"ETV1"	1
"565"	"ETV4"	2
"566"	"ETV5"	12
"567"	"EVA1A"	5
"568"	"EVA1B"	11
"569"	"EXOC2"	20
"570"	"EZR"	3
"571"	"F10"	5
"572"	"F2R"	11
"573"	"F3"	20
"574"	"F8A1"	5
"575"	"FABP1"	17
"576"	"FABP2"	1
"577"	"FABP5"	11
"578"	"FADS1"	1
"579"	"FAH"	7
"580"	"FAM101B"	15
"581"	"FAM105A"	14
"582"	"FAM109B"	19
"583"	"FAM110B"	11
"584"	"FAM127A"	5
"585"	"FAM150B"	2
"586"	"FAM160B1"	7
"587"	"FAM179B"	2
"588"	"FAM195A"	1
"589"	"FAM198B"	7
"590"	"FAM210B"	7
"591"	"FAM212A"	20
"592"	"FAM46A"	5
