	"names"	"clusters"
"394"	"BEX4"	4
"395"	"BEX5"	19
"396"	"BHLHE40"	12
"397"	"BICD1"	10
"398"	"BIRC2"	4
"399"	"BIRC5"	9
"400"	"BLMH"	13
"401"	"BLOC1S1"	4
"402"	"BLOC1S2"	3
"403"	"BLVRB"	12
"404"	"BMF"	16
"405"	"BMP1"	4
"406"	"BMP2"	9
"407"	"BMP2K"	8
"408"	"BMP4"	8
"409"	"BMP7"	8
"410"	"BMPR1A"	16
"411"	"BMPR2"	4
"412"	"BNIP2"	16
"413"	"BNIP3"	13
"414"	"BNIP3L"	8
"415"	"BOLA2B"	9
"416"	"BORA"	9
"417"	"BPTF"	9
"418"	"BRD3"	4
"419"	"BRD7"	3
"420"	"BRD8"	4
"421"	"BRD9"	9
"422"	"BRI3"	13
"423"	"BRI3BP"	19
"424"	"BRSK1"	1
"425"	"BRWD1"	16
"426"	"BSDC1"	3
"427"	"BSPRY"	4
"428"	"BST1"	19
"429"	"BST2"	9
"430"	"BTBD10"	16
"431"	"BTBD3"	16
"432"	"BTBD6"	3
"433"	"BTF3L4"	8
"434"	"BTG1"	5
"435"	"BTG2"	4
"436"	"BTG3"	5
"437"	"BTN3A1"	19
"438"	"BTN3A2"	13
"439"	"BTNL3"	13
"440"	"BTNL8"	13
"441"	"BUB3"	9
"442"	"BYSL"	19
"443"	"BZW1"	16
"444"	"C10orf10"	1
"445"	"C10orf107"	14
"446"	"C10orf25"	4
"447"	"C10orf54"	16
"448"	"C10orf76"	5
"449"	"C10orf82"	9
"450"	"C10orf99"	7
"451"	"C11orf31"	4
"452"	"C11orf49"	9
"453"	"C11orf54"	16
"454"	"C11orf58"	16
"455"	"C11orf71"	9
"456"	"C11orf73"	9
"457"	"C11orf84"	16
"458"	"C11orf86"	19
"459"	"C11orf98"	7
"460"	"C12orf49"	14
"461"	"C12orf57"	8
"462"	"C12orf75"	4
"463"	"C12orf76"	4
"464"	"C14orf1"	16
"465"	"C14orf37"	9
"466"	"C15orf39"	9
"467"	"C15orf48"	8
"468"	"C16orf89"	7
"469"	"C17orf49"	3
"470"	"C17orf78"	19
"471"	"C18orf32"	4
"472"	"C19orf33"	8
"473"	"C19orf66"	19
"474"	"C19orf81"	16
"475"	"C1GALT1C1"	9
"476"	"C1QBP"	13
"477"	"C1QTNF4"	4
"478"	"C1QTNF6"	19
"479"	"C1orf106"	1
"480"	"C1orf115"	11
"481"	"C1orf116"	13
